c1,c2,c3
3957734144,41830,.010569179
13284135,106,.0079794433
2412112,32,.013266383
360160,0,0
13880502,141,.010158134
512614,4,.0078031425
2934455,19,.0064747967
1779340032,22920,.01288118
2145010048,18608,.0086750174
3895831296,12647,.0032462906
13078898,28,.0021408531
2348294,8,.0034067284
360160,0,0
13551344,49,.0036158776
503854,0,0
2895352,4,.0013815246
1738051712,6190,.003561459
2125041536,6368,.0029966473
3887616512,8466,.0021776839
13048788,19,.001456074
2346800,7,.002982785
360160,0,0
13453804,21,.0015608969
508053,2,.0039365971
2903810,7,.002410626
1736193024,5773,.0033250912
2118802048,2637,.0012445712
3888086016,9954,.0025601285
13078812,33,.002523165
2335213,5,.0021411323
360160,0,0
13507916,35,.0025910733
504881,1,.0019806647
2894781,4,.0013817971
1733928192,5086,.002933224
2121476096,4790,.0022578619
3892241920,10763,.0027652443
13064200,26,.0019901716
2353526,12,.0050987327
360160,0,0
13514656,36,.0026637749
507388,1,.0019708783
2899268,4,.0013796586
1736857984,5871,.0033802418
2122684672,4813,.0022674117
