"date","words","days","words_per_day","target"
"20200207",1190,1,1000,200
"20200210",1193,4,297.75,800
"20200211",1751,5,238.6,1000
"20200211",1751,5,350.2,1000
"20200211",1751,5,350.2,1000
"20200211",1751,5,350.2,1000
"20200211",1751,5,350.2,1000
"20200211",1751,5,350.2,1000
"20200211",1751,5,350.2,1000
"20200213",1909,7,249.714285714286,1400
"20200213",1909,7,272.714285714286,1400
"20200217",1930,11,173.545454545455,2200
"20200217",1930,11,175.454545454545,2200
"20200219",2625,13,200.923076923077,2600
